hashname,20250413_PClicks_NoisyGRU_final2_latent_size,_max_epochs,_seed,_lr,_weight_decay,_encoder_size,_file_index,_output_nonlinearity,_heldin_size,_heldout_size,_n_heldin,_n_heldout,_fr_scaling,_rect_func,_obs_noise,_dispersion,_alpha,_vf_hidden_size,_vf_num_layers,state_r2,rate_r2,co-bps,cycle_con
7cb6f585,32,501,0,0.0001,0.0001,128,5,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.9008985757827759,0.5585504174232483,0.1112661212682724,0.9986237287521362
7cb6f585,32,501,0,0.0001,0.0001,128,5,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.9008985757827759,0.5585504174232483,0.1112661212682724,0.9986237287521362
ff61b4da,64,501,0,0.0001,0.0001,128,5,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.8647246360778809,0.3739754259586334,0.07436753064393997,0.9965751767158508
ff61b4da,64,501,0,0.0001,0.0001,128,5,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.8647246360778809,0.3739754259586334,0.07436753064393997,0.9965751767158508
c16d6269,128,501,0,0.0001,0.0001,128,5,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.822615921497345,0.42877620458602905,0.08460107445716858,0.998130202293396
c16d6269,128,501,0,0.0001,0.0001,128,5,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.822615921497345,0.42877620458602905,0.08460107445716858,0.998130202293396
247fd6a4,256,501,0,0.0001,0.0001,128,5,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7825698852539062,0.506260335445404,0.10304928570985794,0.9981053471565247
247fd6a4,256,501,0,0.0001,0.0001,128,5,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7825698852539062,0.506260335445404,0.10304928570985794,0.9981053471565247
8f6f3eb3,512,501,0,0.0001,0.0001,128,5,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7903487086296082,0.572276771068573,0.11677458882331848,0.9988067746162415
8f6f3eb3,512,501,0,0.0001,0.0001,128,5,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7903487086296082,0.572276771068573,0.11677458882331848,0.9988067746162415
