hashname,20250407_PC_NODE_grid_final_latent_size,_max_epochs,_seed,_lr,_weight_decay,_encoder_size,_file_index,_output_nonlinearity,_heldin_size,_heldout_size,_n_heldin,_n_heldout,_fr_scaling,_rect_func,_obs_noise,_dispersion,_alpha,_vf_hidden_size,_vf_num_layers,state_r2,rate_r2,co-bps,cycle_con
6b3531ea,32,500,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,,,,
d77eca26,128,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,,,,
cb262021,32,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,,,,
5d21cdb9,512,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,,,,
226a1496,64,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,,,,
6b3531ea,32,500,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,,,,
0346e5e1,256,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,,,,
d77eca26,128,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,,,,
cb262021,32,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,,,,
5d21cdb9,512,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,,,,
226a1496,64,500,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,,,,
8db5b72f,64,500,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,,,,
8db5b72f,64,500,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,,,,
3a31f388,128,500,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,,,,
3a31f388,128,500,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,,,,
9123938b,256,500,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,,,,
9123938b,256,500,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,,,,
491f4d12,512,500,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,,,,
491f4d12,512,500,0,0.0001,0.0001,128,21,,200,300,200,100,1.0,softplus,poisson,1.0,,,,,,,
5db28766,32,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,,,,
5db28766,32,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,,,,
ab17c719,64,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,,,,
ab17c719,64,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,,,,
91466bac,128,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,200,300,200,100,1.0,softplus,poisson,1.0,,,,,,,
