hashname,model,_latent_size,_output_nonlinearity,_heldin_size,_vf_hidden_size,_vf_num_layers,model_type,category,subcategory
4c485089,fr,64,torch.nn.functional.softplus,200,,,gnode,underfitting,low_co_high_cycle
1f5ba8c6,fr,64,,200,,,gnode,underfitting,low_co_high_cycle
1f5ba8c6,fr,64,,200,,,gnode,underfitting,low_co_high_cycle
f9b9eed0,fr,32,torch.nn.functional.softplus,280,,,gnode,underfitting,low_co_high_cycle
f9b9eed0,fr,32,torch.nn.functional.softplus,280,,,gnode,underfitting,low_co_high_cycle
6496136e,fr,64,torch.nn.functional.softplus,280,,,gnode,underfitting,low_co_high_cycle
6496136e,fr,64,torch.nn.functional.softplus,280,,,gnode,underfitting,low_co_high_cycle
3ba4b0a9,fr,32,,280,,,gnode,underfitting,low_co_high_cycle
3ba4b0a9,fr,32,,280,,,gnode,underfitting,low_co_high_cycle
5c1ddcd4,fr,64,,280,,,gnode,underfitting,low_co_high_cycle
5c1ddcd4,fr,64,,280,,,gnode,underfitting,low_co_high_cycle
c41cfd0f,node,3,torch.nn.functional.softplus,200,128.0,3.0,gnode,top_performers,with_ground_truth
c41cfd0f,node,3,torch.nn.functional.softplus,200,128.0,3.0,gnode,top_performers,with_ground_truth
6fabb7c5,node,3,,200,128.0,3.0,gnode,top_performers,with_ground_truth
6fabb7c5,node,3,,200,128.0,3.0,gnode,top_performers,with_ground_truth
8f69cfdc,node,2,torch.nn.functional.softplus,280,128.0,3.0,gnode,top_performers,without_ground_truth
8f69cfdc,node,2,torch.nn.functional.softplus,280,128.0,3.0,gnode,top_performers,without_ground_truth
0cc3384a,node,2,,280,128.0,3.0,gnode,top_performers,without_ground_truth
0cc3384a,node,2,,280,128.0,3.0,gnode,top_performers,without_ground_truth
1df312c6,gnode,64,300,250,torch.nn.functional.softplus,250.0,gru,inventing_features,high_co_low_cycle
1df312c6,gnode,64,300,250,torch.nn.functional.softplus,250.0,gru,inventing_features,high_co_low_cycle
f3c5e126,gnode,64,300,250,torch.nn.functional.softplus,250.0,gru,inventing_features,high_co_low_cycle
f3c5e126,gnode,64,300,250,torch.nn.functional.softplus,250.0,gru,inventing_features,high_co_low_cycle
c631a64c,fr,64,300,250,torch.nn.functional.softplus,250.0,gru,underfitting,low_rate_high_state
c631a64c,fr,64,300,250,torch.nn.functional.softplus,250.0,gru,underfitting,low_rate_high_state
945575ce,fr,64,300,250,,250.0,gru,underfitting,low_rate_high_state
945575ce,fr,64,300,250,,250.0,gru,underfitting,low_rate_high_state
99e827ab,fr,64,300,250,torch.nn.functional.softplus,250.0,gru,underfitting,low_rate_high_state
99e827ab,fr,64,300,250,torch.nn.functional.softplus,250.0,gru,underfitting,low_rate_high_state
ff61b4da,fr,64,300,250,,250.0,gru,underfitting,low_rate_high_state
