hashname,model,20250407_PC_NODE_grid_final_latent_size,_max_epochs,_seed,_lr,_weight_decay,_encoder_size,_file_index,_output_nonlinearity,_heldin_size,_heldout_size,_n_heldin,_n_heldout,_fr_scaling,_rect_func,_obs_noise,_dispersion,_alpha,_vf_hidden_size,_vf_num_layers,state_r2,rate_r2,co-bps,cycle_con
9c7ed973,gru,256,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7864907383918762,0.6287270188331604,0.1616213321685791,0.9996307492256165
9c7ed973,gru,256,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7864907383918762,0.6287270188331604,0.1616213321685791,0.9996307492256165
ccdb1b61,gru,512,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7889987230300903,0.6529698371887207,0.1753147095441818,0.999506413936615
ccdb1b61,gru,512,501,0,0.0001,0.0001,128,21,torch.nn.functional.softplus,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7889987230300903,0.6529698371887207,0.1753147095441818,0.999506413936615
bd1e055c,gru,32,501,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.6750221848487854,0.4887324571609497,0.1224267929792404,0.99899023771286
bd1e055c,gru,32,501,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.6750221848487854,0.4887324571609497,0.1224267929792404,0.99899023771286
5786594d,gru,64,501,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.2949792444705963,0.1175659596920013,0.0302967112511396,0.9972964525222778
5786594d,gru,64,501,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.2949792444705963,0.1175659596920013,0.0302967112511396,0.9972964525222778
d8b3e0a2,gru,128,501,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7425190210342407,0.4926669001579284,0.1226625218987464,0.9995056390762328
d8b3e0a2,gru,128,501,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7425190210342407,0.4926669001579284,0.1226625218987464,0.9995056390762328
3c418561,gru,256,501,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7843112349510193,0.6270068883895874,0.1612753868103027,0.9996315836906432
3c418561,gru,256,501,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7843112349510193,0.6270068883895874,0.1612753868103027,0.9996315836906432
46cff600,gru,512,501,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7893113493919373,0.6525838375091553,0.1752116084098816,0.999505341053009
46cff600,gru,512,501,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7893113493919373,0.6525838375091553,0.1752116084098816,0.999505341053009
012a3935,gnode,10,500,0,0.002,0.0,128,21,torch.nn.functional.softplus,280,300,200,100,1.0,softplus,poisson,1.0,0.1,64.0,3.0,,,,
