hashname,model,_latent_size,_max_epochs,_seed,_lr,_weight_decay,_encoder_size,_file_index,_output_nonlinearity,_heldin_size,_heldout_size,_n_heldin,_n_heldout,_fr_scaling,_rect_func,_obs_noise,_dispersion,_alpha,_vf_hidden_size,_vf_num_layers,state_r2,rate_r2,co-bps,cycle_con
63d789d4,gnode,2,500,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9963787198066713,0.966108739376068,0.2210210263729095,1.0
e6275718,gnode,10,500,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9971912503242492,0.9920130968093872,0.2260047197341919,0.9992515444755554
a701dc07,gnode,32,500,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9729240536689758,0.9930098056793212,0.2262798994779586,0.9794315695762634
e6275718,gnode,10,500,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9971912503242492,0.9920130968093872,0.2260047197341919,0.9992515444755554
81cf122c,gnode,64,500,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.8427779674530029,0.991264581680298,0.2259909063577652,0.8416082262992859
488a7510,gnode,3,500,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9983063340187072,0.9864235520362854,0.2244513034820556,1.0
63d789d4,gnode,2,500,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9963787198066713,0.966108739376068,0.2210210263729095,1.0
bbdaadc8,gnode,5,500,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9977960586547852,0.9881276488304138,0.225013330578804,0.9986145496368408
a701dc07,gnode,32,500,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9729240536689758,0.9930098056793212,0.2262798994779586,0.9794315695762634
65ff784b,gnode,2,501,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9956635236740112,0.9663193225860596,0.2208364903926849,1.0
caa67dc7,gnode,3,501,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.998537540435791,0.9856546521186828,0.2244904339313507,1.0
65ff784b,gnode,2,501,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9956635236740112,0.9663193225860596,0.2208364903926849,1.0
caa67dc7,gnode,3,501,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.998537540435791,0.9856546521186828,0.2244904339313507,1.0
04f118b3,gnode,5,501,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.998073160648346,0.9895228743553162,0.2252648174762725,0.9986547231674194
5203707a,gnode,10,501,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9971448183059692,0.9933356642723083,0.2261310815811157,0.998367428779602
04f118b3,gnode,5,501,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.998073160648346,0.9895228743553162,0.2252648174762725,0.9986547231674194
5203707a,gnode,10,501,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9971448183059692,0.9933356642723083,0.2261310815811157,0.998367428779602
4ac7f7e5,gnode,32,501,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9751585721969604,0.9924088716506958,0.2262694686651229,0.9819700717926024
4ac7f7e5,gnode,32,501,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.9751585721969604,0.9924088716506958,0.2262694686651229,0.9819700717926024
fb18738e,gnode,64,501,0,0.002,0.0,128,5,torch.nn.functional.softplus,280,300,280,20,1.0,softplus,poisson,1.0,0.1,64.0,3.0,0.8435924053192139,0.991338312625885,0.2259804755449295,0.8427585363388062
