Model_Type,Model_Label,Hash_Value,DMD:0,DMD:1,Architecture,Latent_Size,Is_True_Model,DMD:0_3D,DMD:1_3D,DMD:2_3D
node,node_2_0,0,0.27663762484181637,0.4027710944053678,node,2,False,0.13792978848180232,-0.04843913710942903,0.036392315135332
node,node_2_0fbc1dba,0fbc1dba,-0.30463617914822483,-0.2957298061097549,node,2,False,-0.10643788091261461,0.045436011836651996,0.10620078555214042
node,node_2_5aeb895e,5aeb895e,0.04186452224892054,-0.42773300085486393,node,2,False,-0.07711505640107459,0.14369293407760042,0.03464739684917933
node,node_2_17b7b1c2,17b7b1c2,-0.29919426555764617,0.24861660620624554,node,2,False,0.016612299483892215,0.06978464377186394,-0.12877429116100983
node,node_2_0dba453e,0dba453e,0.39249883418390064,-0.04631407900694229,node,2,False,0.04409724828995621,-0.15004983404171063,-0.09937379640325618
node,node_2_7b73ff55,7b73ff55,-0.24021250232373267,-0.18314879217854538,node,2,False,0.48587305477472204,-0.3230029186907984,-0.10031266572758162
node,node_2_bd004705,bd004705,0.34589970381668855,-0.405449973719283,node,2,False,-0.4423434606281741,-0.31140811023542864,0.41685942371740337
node,node_2_c6b46acf,c6b46acf,0.1573729707794269,0.4727855406893858,node,2,False,0.6351525798657809,0.16110405098247293,0.17802903565552253
node,node_2_096a437d,096a437d,0.10468136842315558,-0.27726657642478253,node,2,False,-0.29411452714859754,0.08909424563775088,0.6034865422676523
node,node_2_fbf80095,fbf80095,-0.34828036559326536,-0.4031703773494676,node,2,False,0.2724489533691602,-0.4164567282039886,-0.4613372949112104
node,node_2_ba6db52b,ba6db52b,0.392755315466646,-0.08680752904133471,node,2,False,-0.24452106392664005,0.5617575768458692,0.28612574110179007
node,node_2_2d0a93d1,2d0a93d1,0.3445350311348543,0.2974107351800318,node,2,False,-0.10845703881866536,-0.2508548503364842,-0.6281366507108221
node,node_2_655dff95,655dff95,-0.04653222272413189,0.23330589863646628,node,2,False,-0.45445525111152785,0.44650016419711464,0.223221547896485
node,node_2_9fc5a207,9fc5a207,0.008756389042775469,-0.2733540808964645,node,2,False,0.6357645326879116,-0.06030245233617378,-0.23813298242012998
node,node_2_7043f7cf,7043f7cf,-0.47558270436862754,0.13742090826004133,node,2,False,-0.1482753959391728,0.2164498766319813,0.6275316615719373
node,node_2_4bf5646a,4bf5646a,-0.08391947461448182,0.35602721123442627,node,2,False,0.24346958413139186,0.6248490977568804,0.08865806207149393
node,node_2_0b6fac9c,0b6fac9c,0.20820315493250463,0.26512851739168486,node,2,False,-0.3292959878107215,-0.4860063804603965,0.3465377534773423
node,node_2_fb24d9f8,fb24d9f8,-0.06198326825753569,-0.3698148476847852,node,2,False,-0.09351319804688225,0.6261674526853505,0.22954110060786373
node,node_2_c9445502,c9445502,0.22423664111409358,0.16987930118882358,node,2,False,0.38324520026960696,0.31813355029499435,0.4615168378889462
node,node_2_26bbb2cc,26bbb2cc,-0.23238297325765003,-0.0014582110626436028,node,2,False,0.5892909612947251,-0.34230794741255477,0.022930066962432726
node,node_2_5381e3f2,5381e3f2,0.17575646814124596,0.3812868044018626,node,2,False,0.38999734478329756,0.4867059653473673,-0.2621830728907658
node,node_2_707c0cca,707c0cca,0.43051059183533086,-0.31696053358214404,node,2,False,-0.5587221845863487,0.3928548002107641,0.02846963383390719
node,node_2_df77dd6f,df77dd6f,-0.4852932494470082,-0.07697291824335803,node,2,False,0.42476812636645106,-0.0950005494638208,-0.5183066200484324
node,node_2_3341a8ee,3341a8ee,-0.03229359609891855,-0.4010975607061113,node,2,False,0.20220064999408513,0.6154574662509201,0.1903757867222087
node,node_2_d3a07ea8,d3a07ea8,-0.39237817420986915,0.01714639185713476,node,2,False,0.48439372813973525,-0.48041440328517326,-0.05393329293296798
node,node_2_6f4adc8d,6f4adc8d,0.4883640622861967,0.10256585030492836,node,2,False,-0.6237457106323927,0.2589397795463493,-0.08425340759081557
node,node_2_2ac658f3,2ac658f3,0.11275373787515558,-0.02962240391052222,node,2,False,-0.5125798114556535,0.03748178896470111,-0.4232124692285341
node,node_2_9f1d7262,9f1d7262,-0.024764249465629884,0.020525268647103866,node,2,False,0.0028598390881626975,-0.48744118743655773,-0.4676297778312756
node,node_2_224680b9,224680b9,0.4775687931107328,0.1760313417274318,node,2,False,0.19537504740948644,-0.641597847623857,0.039983319776254966
node,node_2_429822ab,429822ab,-0.2333032201277261,0.28400468998447204,node,2,False,0.04634126660045238,-0.6771935361985576,0.044829269973775614
node,node_2_3db18318,3db18318,-0.45382446409677396,0.12337074984106808,node,2,False,0.16917714909081366,0.09383913537927409,-0.6410556785863067
node,node_2_a2252f81,a2252f81,-0.3001439951450636,0.4358730392309852,node,2,False,-0.6629947554266563,-0.05678917204253083,-0.11754067452086063
node,node_2_beb680f1,beb680f1,0.3273729461047029,-0.12263348677572937,node,2,False,-0.3625827255052456,0.2592249471076993,-0.5040780649764142
node,node_2_f3135e0e,f3135e0e,-0.05619817342238442,0.37820898541306974,node,2,False,0.03980741179043136,-0.5940940817409893,-0.3145191488847407
node,node_2_92985aca,92985aca,-0.08101286783643902,-0.4536784265916201,node,2,False,0.12203252550102443,-0.6413772111211612,-0.17923542987319618
node,node_2_f72b5ec1,f72b5ec1,0.4490349798092974,0.2527706026363141,node,2,False,0.507087459903594,-0.40136220761692765,-0.2122086016789621
node,node_2_f9d4a623,f9d4a623,-0.3939965430687268,-0.35387707522170925,node,2,False,0.5967860929959361,-0.2763995727314407,-0.19391549305685404
node,node_2_d2134b59,d2134b59,0.18012240656923972,0.3295705737856921,node,2,False,0.0016009497881848546,0.39001561512839317,-0.5494478995638533
node,node_2_3dcc0bde,3dcc0bde,0.34582481748146504,-0.436151030146549,node,2,False,0.501266563200005,0.38648847411481546,0.2401202865647552
node,node_2_cf88fd13,cf88fd13,-0.4518223540031121,-0.2597478302796964,node,2,False,-0.2664458122921827,-0.435885469403346,-0.43290319468138655
node,node_2_64137f30,64137f30,0.4671250267764475,-0.13641520075873645,node,2,False,0.3370457477749642,-0.26322808859839114,0.5324251901288657
node,node_2_8e46ce51,8e46ce51,0.28378344874920236,0.3738227238000651,node,2,False,-0.20406464360775103,0.42997851734411835,0.4531324338636316
node,node_2_a8626884,a8626884,-0.37187214577320454,-0.4487011084887413,node,2,False,-0.08345530730840216,0.6299224773585387,-0.22448045354766638
node,node_2_de05d2bf,de05d2bf,0.4067599659455202,-0.2663687583706576,node,2,False,-0.4888576483770833,-0.10678810674086071,-0.46001827357960723
node,node_2_ea333e5e,ea333e5e,0.07383580280782698,0.35456905952544104,node,2,False,-0.22902593001801166,-0.6347179564442258,0.0758826656114097
