model_label,model_type,hash_value,reduced_dimension,is_true_model
gnode_2_0,gnode,0,2,False
gnode_2_bc117a87,gnode,bc117a87,2,False
gnode_2_9cc4086f,gnode,9cc4086f,2,False
gnode_2_17674d60,gnode,17674d60,2,False
gnode_2_1a48ba60,gnode,1a48ba60,2,False
gnode_2_9ece096c,gnode,9ece096c,2,False
gnode_2_44c5a780,gnode,44c5a780,2,False
gnode_2_b4f82c0b,gnode,b4f82c0b,2,False
gnode_2_7abbc004,gnode,7abbc004,2,False
gnode_2_dd3e2bf4,gnode,dd3e2bf4,2,False
gnode_2_f08b836b,gnode,f08b836b,2,False
gnode_2_04121e4c,gnode,04121e4c,2,False
gnode_2_e3ce27b6,gnode,e3ce27b6,2,False
gnode_2_caa67dc7,gnode,caa67dc7,2,False
gnode_2_488a7510,gnode,488a7510,2,False
gnode_2_63d789d4,gnode,63d789d4,2,False
gnode_2_65ff784b,gnode,65ff784b,2,False
gnode_2_b517bd66,gnode,b517bd66,2,False
gnode_2_5de5ff74,gnode,5de5ff74,2,False
gnode_2_4f494e9c,gnode,4f494e9c,2,False
gnode_2_0886bc04,gnode,0886bc04,2,False
gnode_2_27e32749,gnode,27e32749,2,False
gnode_2_15c2274e,gnode,15c2274e,2,False
gnode_2_8e24d1b7,gnode,8e24d1b7,2,False
gnode_2_3d1d193b,gnode,3d1d193b,2,False
gnode_2_6f68cc36,gnode,6f68cc36,2,False
gnode_2_7f66f908,gnode,7f66f908,2,False
gnode_2_d7c4a37a,gnode,d7c4a37a,2,False
gnode_2_c13a73bf,gnode,c13a73bf,2,False
gnode_2_d566470b,gnode,d566470b,2,False
gnode_2_d4dfdc16,gnode,d4dfdc16,2,False
gnode_2_53b7548a,gnode,53b7548a,2,False
gnode_2_932a575d,gnode,932a575d,2,False
gnode_2_c7a1b705,gnode,c7a1b705,2,False
gnode_2_d00662c5,gnode,d00662c5,2,False
gnode_2_99eb3cdc,gnode,99eb3cdc,2,False
gnode_2_3d41d2b1,gnode,3d41d2b1,2,False
fr_2_ecf08c3e,fr,ecf08c3e,2,False
fr_2_0346e5e1,fr,0346e5e1,2,False
fr_2_2456e958,fr,2456e958,2,False
fr_2_2fcbfe2e,fr,2fcbfe2e,2,False
fr_2_9123938b,fr,9123938b,2,False
fr_2_491f4d12,fr,491f4d12,2,False
fr_2_1cc9649b,fr,1cc9649b,2,False
fr_2_5d21cdb9,fr,5d21cdb9,2,False
fr_2_edd50266,fr,edd50266,2,False
fr_2_2bc7620c,fr,2bc7620c,2,False
fr_2_11705b7b,fr,11705b7b,2,False
fr_2_d74f44eb,fr,d74f44eb,2,False
fr_2_e9d58413,fr,e9d58413,2,False
fr_2_edd50266,fr,edd50266,2,False
fr_2_116e9443,fr,116e9443,2,False
fr_2_2bc7620c,fr,2bc7620c,2,False
fr_2_11705b7b,fr,11705b7b,2,False
fr_2_d18cfa2a,fr,d18cfa2a,2,False
fr_2_54b25375,fr,54b25375,2,False
fr_2_d74f44eb,fr,d74f44eb,2,False
fr_2_ecf08c3e,fr,ecf08c3e,2,False
fr_2_0346e5e1,fr,0346e5e1,2,False
fr_2_2456e958,fr,2456e958,2,False
fr_2_2fcbfe2e,fr,2fcbfe2e,2,False
fr_2_9123938b,fr,9123938b,2,False
fr_2_491f4d12,fr,491f4d12,2,False
fr_2_1cc9649b,fr,1cc9649b,2,False
fr_2_5d21cdb9,fr,5d21cdb9,2,False
