table,model,r2,slope,intercept,p_value,valid_points
Table_1,GNode,0.007402547321974096,0.02035738831633367,0.9636711699586034,0.0688550514006005,448
Table_2,GRU,0.025330809386618136,0.06129512493002929,0.9321428481401915,0.00046492747392018745,480
Table_3,NODE,0.000889861716374063,0.006148325357661696,0.9774124486303343,0.534448108923372,436
