hashname,model,latent_size,max_epochs,seed,lr,weight_decay,encoder_size,file_index,vf_hidden_size,vf_num_layers,output_nonlinearity,heldin_size,heldout_size,alpha,n_heldin,n_heldout,fr_scaling,rect_func,obs_noise,dispersion,state_r2,rate_r2,co-bps,cycle_con,source_table,model_from,normalized_latent_size,high_rate_r2,high_state_r2,high_cobps,high_cycle_con
4c2d6827,node,64,501,0,0.002,0.0,128,10,128.0,3.0,,200,300,0.05,200,100,1.0,softplus,,1.0,0.7180652022361755,0.9954856038093568,0.2800202369689941,0.8801525235176086,Table_1,GNode,1.0,True,False,True,False
f5bb38d1,gnode,64,500,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,200,300,0.1,200,100,1.0,softplus,,1.0,0.7174471020698547,0.9955800771713256,0.2802580595016479,0.8281390070915222,Table_1,GNode,1.0,True,False,True,False
f5bb38d1,gnode,64,500,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,200,300,0.1,200,100,1.0,softplus,,1.0,0.7174471020698547,0.9955800771713256,0.2802580595016479,0.8281390070915222,Table_1,GNode,1.0,True,False,True,False
7c029f3f,gnode,64,500,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,280,300,0.1,280,20,1.0,softplus,,1.0,0.7234116196632385,0.995337724685669,0.2803028225898742,0.7959923148155212,Table_1,GNode,1.0,True,False,True,False
7c029f3f,gnode,64,500,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,280,300,0.1,280,20,1.0,softplus,,1.0,0.7234116196632385,0.995337724685669,0.2803028225898742,0.7959923148155212,Table_1,GNode,1.0,True,False,True,False
64358cd7,gnode,64,501,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,280,300,0.1,280,20,1.0,softplus,,1.0,0.720819354057312,0.9953099489212036,0.2802720069885254,0.7943689227104187,Table_1,GNode,1.0,True,False,True,False
64358cd7,gnode,64,501,0,0.002,0.0,128,10,64.0,3.0,torch.nn.functional.softplus,280,300,0.1,280,20,1.0,softplus,,1.0,0.720819354057312,0.9953099489212036,0.2802720069885254,0.7943689227104187,Table_1,GNode,1.0,True,False,True,False
5d4dfe4a,node,64,500,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,250,300,0.05,250,50,1.0,softplus,,1.0,0.7168197631835938,0.9931938648223876,0.2792350351810455,0.8714632391929626,Table_1,GNode,1.0,True,False,True,False
5d4dfe4a,node,64,500,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,250,300,0.05,250,50,1.0,softplus,,1.0,0.7168197631835938,0.9931938648223876,0.2792350351810455,0.8714632391929626,Table_1,GNode,1.0,True,False,True,False
02a69630,node,64,500,0,0.002,0.0,128,10,128.0,3.0,,250,300,0.05,250,50,1.0,softplus,,1.0,0.7165733575820923,0.9931859970092772,0.279237151145935,0.8724942803382874,Table_1,GNode,1.0,True,False,True,False
02a69630,node,64,500,0,0.002,0.0,128,10,128.0,3.0,,250,300,0.05,250,50,1.0,softplus,,1.0,0.7165733575820923,0.9931859970092772,0.279237151145935,0.8724942803382874,Table_1,GNode,1.0,True,False,True,False
04e7df0e,node,64,501,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,250,300,0.05,250,50,1.0,softplus,,1.0,0.6873401999473572,0.9947478771209716,0.2798262536525726,0.8436776995658875,Table_1,GNode,1.0,True,False,True,False
04e7df0e,node,64,501,0,0.002,0.0,128,10,128.0,3.0,torch.nn.functional.softplus,250,300,0.05,250,50,1.0,softplus,,1.0,0.6873401999473572,0.9947478771209716,0.2798262536525726,0.8436776995658875,Table_1,GNode,1.0,True,False,True,False
1e9588f2,node,64,501,0,0.002,0.0,128,10,128.0,3.0,,250,300,0.05,250,50,1.0,softplus,,1.0,0.6881755590438843,0.9947783946990968,0.2798425257205963,0.843368649482727,Table_1,GNode,1.0,True,False,True,False
1e9588f2,node,64,501,0,0.002,0.0,128,10,128.0,3.0,,250,300,0.05,250,50,1.0,softplus,,1.0,0.6881755590438843,0.9947783946990968,0.2798425257205963,0.843368649482727,Table_1,GNode,1.0,True,False,True,False
81cf122c,gnode,64,500,0,0.002,0.0,128,5,64.0,3.0,torch.nn.functional.softplus,280,300,0.1,280,20,1.0,softplus,,1.0,0.8427779674530029,0.991264581680298,0.2259909063577652,0.8416082262992859,Table_2,GRU,1.0,True,False,True,False
81cf122c,gnode,64,500,0,0.002,0.0,128,5,64.0,3.0,torch.nn.functional.softplus,280,300,0.1,280,20,1.0,softplus,,1.0,0.8427779674530029,0.991264581680298,0.2259909063577652,0.8416082262992859,Table_2,GRU,1.0,True,False,True,False
fb18738e,gnode,64,501,0,0.002,0.0,128,5,64.0,3.0,torch.nn.functional.softplus,280,300,0.1,280,20,1.0,softplus,,1.0,0.8435924053192139,0.991338312625885,0.2259804755449295,0.8427585363388062,Table_2,GRU,1.0,True,False,True,False
fb18738e,gnode,64,501,0,0.002,0.0,128,5,64.0,3.0,torch.nn.functional.softplus,280,300,0.1,280,20,1.0,softplus,,1.0,0.8435924053192139,0.991338312625885,0.2259804755449295,0.8427585363388062,Table_2,GRU,1.0,True,False,True,False
81cf122c,gnode,64,500,0,0.002,0.0,128,5,64.0,3.0,torch.nn.functional.softplus,280,300,0.1,280,20,1.0,softplus,,1.0,0.8427779674530029,0.991264581680298,0.2259909063577652,0.8416082262992859,Table_2,GRU,1.0,True,False,True,False
81cf122c,gnode,64,500,0,0.002,0.0,128,5,64.0,3.0,torch.nn.functional.softplus,280,300,0.1,280,20,1.0,softplus,,1.0,0.8427779674530029,0.991264581680298,0.2259909063577652,0.8416082262992859,Table_2,GRU,1.0,True,False,True,False
fb18738e,gnode,64,501,0,0.002,0.0,128,5,64.0,3.0,torch.nn.functional.softplus,280,300,0.1,280,20,1.0,softplus,,1.0,0.8435924053192139,0.991338312625885,0.2259804755449295,0.8427585363388062,Table_2,GRU,1.0,True,False,True,False
fb18738e,gnode,64,501,0,0.002,0.0,128,5,64.0,3.0,torch.nn.functional.softplus,280,300,0.1,280,20,1.0,softplus,,1.0,0.8435924053192139,0.991338312625885,0.2259804755449295,0.8427585363388062,Table_2,GRU,1.0,True,False,True,False
e32f17f1,node,64,500,0,0.002,0.0,128,5,128.0,3.0,torch.nn.functional.softplus,250,300,0.05,250,50,1.0,softplus,,1.0,0.830163836479187,0.9920355081558228,0.22636678814888,0.8917407989501953,Table_2,GRU,1.0,True,False,True,False
e32f17f1,node,64,500,0,0.002,0.0,128,5,128.0,3.0,torch.nn.functional.softplus,250,300,0.05,250,50,1.0,softplus,,1.0,0.830163836479187,0.9920355081558228,0.22636678814888,0.8917407989501953,Table_2,GRU,1.0,True,False,True,False
c3ebfcd6,node,64,500,0,0.002,0.0,128,5,128.0,3.0,,250,300,0.05,250,50,1.0,softplus,,1.0,0.8306409120559692,0.992026686668396,0.2263621240854263,0.8924270868301392,Table_2,GRU,1.0,True,False,True,False
c3ebfcd6,node,64,500,0,0.002,0.0,128,5,128.0,3.0,,250,300,0.05,250,50,1.0,softplus,,1.0,0.8306409120559692,0.992026686668396,0.2263621240854263,0.8924270868301392,Table_2,GRU,1.0,True,False,True,False
57061708,node,64,501,0,0.002,0.0,128,5,128.0,3.0,torch.nn.functional.softplus,250,300,0.05,250,50,1.0,softplus,,1.0,0.8298590779304504,0.9920307993888856,0.2263719886541366,0.8898659944534302,Table_2,GRU,1.0,True,False,True,False
57061708,node,64,501,0,0.002,0.0,128,5,128.0,3.0,torch.nn.functional.softplus,250,300,0.05,250,50,1.0,softplus,,1.0,0.8298590779304504,0.9920307993888856,0.2263719886541366,0.8898659944534302,Table_2,GRU,1.0,True,False,True,False
628dabf0,node,64,501,0,0.002,0.0,128,5,128.0,3.0,,250,300,0.05,250,50,1.0,softplus,,1.0,0.8296602368354797,0.9920461177825928,0.2263759523630142,0.8891879320144653,Table_2,GRU,1.0,True,False,True,False
628dabf0,node,64,501,0,0.002,0.0,128,5,128.0,3.0,,250,300,0.05,250,50,1.0,softplus,,1.0,0.8296602368354797,0.9920461177825928,0.2263759523630142,0.8891879320144653,Table_2,GRU,1.0,True,False,True,False
