hashname,model,latent_size,max_epochs,seed,lr,weight_decay,encoder_size,file_index,vf_hidden_size,vf_num_layers,output_nonlinearity,heldin_size,heldout_size,alpha,n_heldin,n_heldout,fr_scaling,rect_func,obs_noise,dispersion,state_r2,rate_r2,co-bps,cycle_con,source_table,model_from,normalized_latent_size,high_rate_r2,high_state_r2,high_cobps,high_cycle_con
f561fd9e,gru,256,501,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,,1.0,0.843464195728302,0.7890853881835938,0.2203554809093475,0.999424695968628,Table_1,GNode,0.5,False,False,False,True
1bf19918,gru,512,501,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,,1.0,0.7638156414031982,0.6108601093292236,0.1761218309402465,0.9996432065963744,Table_1,GNode,1.0,False,False,False,True
1bf19918,gru,512,501,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,250,300,,250,50,1.0,softplus,,1.0,0.7638156414031982,0.6108601093292236,0.1761218309402465,0.9996432065963744,Table_1,GNode,1.0,False,False,False,True
e60b5326,gru,256,501,0,0.0001,0.0001,128,10,,,,250,300,,250,50,1.0,softplus,,1.0,0.8430976271629333,0.788712203502655,0.2202235758304596,0.99942547082901,Table_1,GNode,0.5,False,False,False,True
e60b5326,gru,256,501,0,0.0001,0.0001,128,10,,,,250,300,,250,50,1.0,softplus,,1.0,0.8430976271629333,0.788712203502655,0.2202235758304596,0.99942547082901,Table_1,GNode,0.5,False,False,False,True
1221f4a0,gru,512,501,0,0.0001,0.0001,128,10,,,,250,300,,250,50,1.0,softplus,,1.0,0.7660665512084961,0.6052273511886597,0.1755322068929672,0.9996402859687804,Table_1,GNode,1.0,False,False,False,True
1221f4a0,gru,512,501,0,0.0001,0.0001,128,10,,,,250,300,,250,50,1.0,softplus,,1.0,0.7660665512084961,0.6052273511886597,0.1755322068929672,0.9996402859687804,Table_1,GNode,1.0,False,False,False,True
4c485089,fr,64,500,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,200,300,,200,100,1.0,softplus,,1.0,0.0388331599533557,-0.6067719459533691,-0.1200418174266815,0.9987878203392028,Table_1,GNode,0.125,False,False,False,True
849e5565,fr,256,500,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,200,300,,200,100,1.0,softplus,,1.0,0.843049943447113,0.8201675415039062,0.2168803513050079,0.999192237854004,Table_1,GNode,0.5,False,False,False,True
95e869f5,fr,512,500,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,200,300,,200,100,1.0,softplus,,1.0,0.8445248007774353,0.7889226078987122,0.2053090780973434,0.9989442229270936,Table_1,GNode,1.0,False,False,False,True
4c485089,fr,64,500,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,200,300,,200,100,1.0,softplus,,1.0,0.0388331599533557,-0.6067719459533691,-0.1200418174266815,0.9987878203392028,Table_1,GNode,0.125,False,False,False,True
849e5565,fr,256,500,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,200,300,,200,100,1.0,softplus,,1.0,0.843049943447113,0.8201675415039062,0.2168803513050079,0.999192237854004,Table_1,GNode,0.5,False,False,False,True
95e869f5,fr,512,500,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,200,300,,200,100,1.0,softplus,,1.0,0.8445248007774353,0.7889226078987122,0.2053090780973434,0.9989442229270936,Table_1,GNode,1.0,False,False,False,True
1f5ba8c6,fr,64,500,0,0.0001,0.0001,128,10,,,,200,300,,200,100,1.0,softplus,,1.0,0.0375323481857776,-0.612830400466919,-0.1213950142264366,0.9987872242927552,Table_1,GNode,0.125,False,False,False,True
1f5ba8c6,fr,64,500,0,0.0001,0.0001,128,10,,,,200,300,,200,100,1.0,softplus,,1.0,0.0375323481857776,-0.612830400466919,-0.1213950142264366,0.9987872242927552,Table_1,GNode,0.125,False,False,False,True
51898186,fr,256,500,0,0.0001,0.0001,128,10,,,,200,300,,200,100,1.0,softplus,,1.0,0.8430505394935608,0.8201678991317749,0.2168805301189422,0.999192237854004,Table_1,GNode,0.5,False,False,False,True
51898186,fr,256,500,0,0.0001,0.0001,128,10,,,,200,300,,200,100,1.0,softplus,,1.0,0.8430505394935608,0.8201678991317749,0.2168805301189422,0.999192237854004,Table_1,GNode,0.5,False,False,False,True
27ea651f,fr,512,500,0,0.0001,0.0001,128,10,,,,200,300,,200,100,1.0,softplus,,1.0,0.8445260524749756,0.7889217734336853,0.205308735370636,0.9989442229270936,Table_1,GNode,1.0,False,False,False,True
27ea651f,fr,512,500,0,0.0001,0.0001,128,10,,,,200,300,,200,100,1.0,softplus,,1.0,0.8445260524749756,0.7889217734336853,0.205308735370636,0.9989442229270936,Table_1,GNode,1.0,False,False,False,True
59aafcad,fr,256,501,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,200,300,,200,100,1.0,softplus,,1.0,0.8123236894607544,0.7922918200492859,0.2176215201616287,0.9994009733200072,Table_1,GNode,0.5,False,False,False,True
59aafcad,fr,256,501,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,200,300,,200,100,1.0,softplus,,1.0,0.8123236894607544,0.7922918200492859,0.2176215201616287,0.9994009733200072,Table_1,GNode,0.5,False,False,False,True
ff5116ad,fr,512,501,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,200,300,,200,100,1.0,softplus,,1.0,0.8192095160484314,0.8074110150337219,0.2157201766967773,0.9993273019790648,Table_1,GNode,1.0,False,False,False,True
ff5116ad,fr,512,501,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,200,300,,200,100,1.0,softplus,,1.0,0.8192095160484314,0.8074110150337219,0.2157201766967773,0.9993273019790648,Table_1,GNode,1.0,False,False,False,True
9cfa68af,fr,256,501,0,0.0001,0.0001,128,10,,,,200,300,,200,100,1.0,softplus,,1.0,0.8123427629470825,0.7923110127449036,0.2176269888877868,0.9994010925292968,Table_1,GNode,0.5,False,False,False,True
9cfa68af,fr,256,501,0,0.0001,0.0001,128,10,,,,200,300,,200,100,1.0,softplus,,1.0,0.8123427629470825,0.7923110127449036,0.2176269888877868,0.9994010925292968,Table_1,GNode,0.5,False,False,False,True
822fb8eb,fr,512,501,0,0.0001,0.0001,128,10,,,,200,300,,200,100,1.0,softplus,,1.0,0.819209098815918,0.8074111938476562,0.2157198339700698,0.9993273019790648,Table_1,GNode,1.0,False,False,False,True
822fb8eb,fr,512,501,0,0.0001,0.0001,128,10,,,,200,300,,200,100,1.0,softplus,,1.0,0.819209098815918,0.8074111938476562,0.2157198339700698,0.9993273019790648,Table_1,GNode,1.0,False,False,False,True
83df3de8,fr,256,500,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,280,300,,280,20,1.0,softplus,,1.0,0.7795878052711487,0.7896033525466919,0.2106125056743621,0.9992743134498596,Table_1,GNode,0.5,False,False,False,True
83df3de8,fr,256,500,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,280,300,,280,20,1.0,softplus,,1.0,0.7795878052711487,0.7896033525466919,0.2106125056743621,0.9992743134498596,Table_1,GNode,0.5,False,False,False,True
6496136e,fr,64,501,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,280,300,,280,20,1.0,softplus,,1.0,0.2348289936780929,0.1284774392843246,0.0520727336406707,0.9988549947738647,Table_1,GNode,0.125,False,False,False,True
6496136e,fr,64,501,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,280,300,,280,20,1.0,softplus,,1.0,0.2348289936780929,0.1284774392843246,0.0520727336406707,0.9988549947738647,Table_1,GNode,0.125,False,False,False,True
39ca03fc,fr,256,501,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,280,300,,280,20,1.0,softplus,,1.0,0.8328023552894592,0.8024151921272278,0.2117870301008224,0.999091863632202,Table_1,GNode,0.5,False,False,False,True
39ca03fc,fr,256,501,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,280,300,,280,20,1.0,softplus,,1.0,0.8328023552894592,0.8024151921272278,0.2117870301008224,0.999091863632202,Table_1,GNode,0.5,False,False,False,True
5e371ba8,fr,512,501,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,280,300,,280,20,1.0,softplus,,1.0,0.7923997640609741,0.6724146008491516,0.183385357260704,0.9988802671432496,Table_1,GNode,1.0,False,False,False,True
5e371ba8,fr,512,501,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,280,300,,280,20,1.0,softplus,,1.0,0.7923997640609741,0.6724146008491516,0.183385357260704,0.9988802671432496,Table_1,GNode,1.0,False,False,False,True
849e5565,fr,256,500,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,200,300,,200,100,1.0,softplus,,1.0,0.843049943447113,0.8201675415039062,0.2168803513050079,0.999192237854004,Table_1,GNode,0.5,False,False,False,True
95e869f5,fr,512,500,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,200,300,,200,100,1.0,softplus,,1.0,0.8445248007774353,0.7889226078987122,0.2053090780973434,0.9989442229270936,Table_1,GNode,1.0,False,False,False,True
4c485089,fr,64,500,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,200,300,,200,100,1.0,softplus,,1.0,0.0388331599533557,-0.6067719459533691,-0.1200418174266815,0.9987878203392028,Table_1,GNode,0.125,False,False,False,True
849e5565,fr,256,500,0,0.0001,0.0001,128,10,,,torch.nn.functional.softplus,200,300,,200,100,1.0,softplus,,1.0,0.843049943447113,0.8201675415039062,0.2168803513050079,0.999192237854004,Table_1,GNode,0.5,False,False,False,True
