table,model,r2,slope,intercept,p_value,valid_points
Table_1,GNode,0.9853745983677273,0.266604414549479,0.009258325924316302,0.0,448
Table_2,GRU,0.9977351293120941,0.25106845795289084,-0.023648214068274664,0.0,480
Table_3,NODE,0.9953150745182618,0.28500239151791207,-0.012258365417777806,0.0,436
