loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
31.673145294189453,1743407130,,False,1,0b3dd_00003,2025-03-31_03-45-30,19.138600826263428,19.138600826263428,2466891,della-l04g13,172.17.6.173,19.138600826263428,1
31.43042755126953,1743407132,,False,2,0b3dd_00003,2025-03-31_03-45-32,2.526750326156616,21.665351152420044,2466891,della-l04g13,172.17.6.173,21.665351152420044,2
31.19683837890625,1743407135,,False,3,0b3dd_00003,2025-03-31_03-45-35,2.537285566329956,24.20263671875,2466891,della-l04g13,172.17.6.173,24.20263671875,3
30.963581085205078,1743407138,,False,4,0b3dd_00003,2025-03-31_03-45-38,2.6265406608581543,26.829177379608154,2466891,della-l04g13,172.17.6.173,26.829177379608154,4
30.766210556030273,1743407140,,False,5,0b3dd_00003,2025-03-31_03-45-40,2.543463945388794,29.37264132499695,2466891,della-l04g13,172.17.6.173,29.37264132499695,5
30.453645706176758,1743407143,,False,6,0b3dd_00003,2025-03-31_03-45-43,2.6730217933654785,32.04566311836243,2466891,della-l04g13,172.17.6.173,32.04566311836243,6
30.056968688964844,1743407145,,False,7,0b3dd_00003,2025-03-31_03-45-45,2.5485446453094482,34.594207763671875,2466891,della-l04g13,172.17.6.173,34.594207763671875,7
28.639989852905273,1743407148,,False,8,0b3dd_00003,2025-03-31_03-45-48,2.510976791381836,37.10518455505371,2466891,della-l04g13,172.17.6.173,37.10518455505371,8
23.260541915893555,1743407151,,False,9,0b3dd_00003,2025-03-31_03-45-51,2.609774112701416,39.71495866775513,2466891,della-l04g13,172.17.6.173,39.71495866775513,9
10.913068771362305,1743407153,,False,10,0b3dd_00003,2025-03-31_03-45-53,2.6789824962615967,42.393941164016724,2466891,della-l04g13,172.17.6.173,42.393941164016724,10
72.19263458251953,1743407156,,False,11,0b3dd_00003,2025-03-31_03-45-56,2.6113133430480957,45.00525450706482,2466891,della-l04g13,172.17.6.173,45.00525450706482,11
66.16548919677734,1743407158,,False,12,0b3dd_00003,2025-03-31_03-45-58,2.6318087577819824,47.6370632648468,2466891,della-l04g13,172.17.6.173,47.6370632648468,12
11.019601821899414,1743407161,,False,13,0b3dd_00003,2025-03-31_03-46-01,2.574629783630371,50.21169304847717,2466891,della-l04g13,172.17.6.173,50.21169304847717,13
14.619187355041504,1743407164,,False,14,0b3dd_00003,2025-03-31_03-46-04,2.6314589977264404,52.84315204620361,2466891,della-l04g13,172.17.6.173,52.84315204620361,14
12.02612590789795,1743407166,,False,15,0b3dd_00003,2025-03-31_03-46-06,2.5121703147888184,55.35532236099243,2466891,della-l04g13,172.17.6.173,55.35532236099243,15
10.443580627441406,1743407169,,False,16,0b3dd_00003,2025-03-31_03-46-09,2.5723254680633545,57.927647829055786,2466891,della-l04g13,172.17.6.173,57.927647829055786,16
10.075298309326172,1743407171,,False,17,0b3dd_00003,2025-03-31_03-46-11,2.574017286300659,60.501665115356445,2466891,della-l04g13,172.17.6.173,60.501665115356445,17
9.382396697998047,1743407174,,False,18,0b3dd_00003,2025-03-31_03-46-14,2.671726703643799,63.173391819000244,2466891,della-l04g13,172.17.6.173,63.173391819000244,18
10.57550048828125,1743407177,,False,19,0b3dd_00003,2025-03-31_03-46-17,2.6939427852630615,65.8673346042633,2466891,della-l04g13,172.17.6.173,65.8673346042633,19
10.610076904296875,1743407179,,False,20,0b3dd_00003,2025-03-31_03-46-19,2.542630910873413,68.40996551513672,2466891,della-l04g13,172.17.6.173,68.40996551513672,20
19.282594680786133,1743407188,,False,21,0b3dd_00003,2025-03-31_03-46-28,8.662527799606323,77.07249331474304,2466891,della-l04g13,172.17.6.173,77.07249331474304,21
7.608758449554443,1743407191,,False,22,0b3dd_00003,2025-03-31_03-46-31,2.5496397018432617,79.6221330165863,2466891,della-l04g13,172.17.6.173,79.6221330165863,22
7.121145248413086,1743407193,,False,23,0b3dd_00003,2025-03-31_03-46-33,2.505870819091797,82.1280038356781,2466891,della-l04g13,172.17.6.173,82.1280038356781,23
7.062488555908203,1743407196,,False,24,0b3dd_00003,2025-03-31_03-46-36,2.632871150970459,84.76087498664856,2466891,della-l04g13,172.17.6.173,84.76087498664856,24
6.822973728179932,1743407198,,False,25,0b3dd_00003,2025-03-31_03-46-38,2.6008119583129883,87.36168694496155,2466891,della-l04g13,172.17.6.173,87.36168694496155,25
5.923704147338867,1743407201,,False,26,0b3dd_00003,2025-03-31_03-46-41,2.626354217529297,89.98804116249084,2466891,della-l04g13,172.17.6.173,89.98804116249084,26
5.791008472442627,1743407203,,False,27,0b3dd_00003,2025-03-31_03-46-43,2.5298500061035156,92.51789116859436,2466891,della-l04g13,172.17.6.173,92.51789116859436,27
9.556581497192383,1743407206,,False,28,0b3dd_00003,2025-03-31_03-46-46,2.729914903640747,95.24780607223511,2466891,della-l04g13,172.17.6.173,95.24780607223511,28
6.003913402557373,1743407209,,False,29,0b3dd_00003,2025-03-31_03-46-49,2.5927844047546387,97.84059047698975,2466891,della-l04g13,172.17.6.173,97.84059047698975,29
11.544943809509277,1743407212,,False,30,0b3dd_00003,2025-03-31_03-46-52,2.7612152099609375,100.60180568695068,2466891,della-l04g13,172.17.6.173,100.60180568695068,30
4.784151077270508,1743407214,,False,31,0b3dd_00003,2025-03-31_03-46-54,2.5320212841033936,103.13382697105408,2466891,della-l04g13,172.17.6.173,103.13382697105408,31
4.7042012214660645,1743407217,,False,32,0b3dd_00003,2025-03-31_03-46-57,2.6810014247894287,105.8148283958435,2466891,della-l04g13,172.17.6.173,105.8148283958435,32
4.501359939575195,1743407219,,False,33,0b3dd_00003,2025-03-31_03-46-59,2.54329252243042,108.35812091827393,2466891,della-l04g13,172.17.6.173,108.35812091827393,33
4.740021228790283,1743407222,,False,34,0b3dd_00003,2025-03-31_03-47-02,2.941967010498047,111.30008792877197,2466891,della-l04g13,172.17.6.173,111.30008792877197,34
5.520051956176758,1743407225,,False,35,0b3dd_00003,2025-03-31_03-47-05,2.504033327102661,113.80412125587463,2466891,della-l04g13,172.17.6.173,113.80412125587463,35
7.20842170715332,1743407228,,False,36,0b3dd_00003,2025-03-31_03-47-08,2.842867374420166,116.6469886302948,2466891,della-l04g13,172.17.6.173,116.6469886302948,36
4.538351535797119,1743407230,,False,37,0b3dd_00003,2025-03-31_03-47-10,2.454948663711548,119.10193729400635,2466891,della-l04g13,172.17.6.173,119.10193729400635,37
4.572897434234619,1743407233,,False,38,0b3dd_00003,2025-03-31_03-47-13,2.6890792846679688,121.79101657867432,2466891,della-l04g13,172.17.6.173,121.79101657867432,38
4.271578788757324,1743407235,,False,39,0b3dd_00003,2025-03-31_03-47-15,2.6699039936065674,124.46092057228088,2466891,della-l04g13,172.17.6.173,124.46092057228088,39
4.0263752937316895,1743407238,,False,40,0b3dd_00003,2025-03-31_03-47-18,2.4040157794952393,126.86493635177612,2466891,della-l04g13,172.17.6.173,126.86493635177612,40
4.0567474365234375,1743407246,,False,41,0b3dd_00003,2025-03-31_03-47-26,8.169201612472534,135.03413796424866,2466891,della-l04g13,172.17.6.173,135.03413796424866,41
5.073136806488037,1743407249,,False,42,0b3dd_00003,2025-03-31_03-47-29,2.7049994468688965,137.73913741111755,2466891,della-l04g13,172.17.6.173,137.73913741111755,42
3.9889590740203857,1743407251,,False,43,0b3dd_00003,2025-03-31_03-47-31,2.6702804565429688,140.40941786766052,2466891,della-l04g13,172.17.6.173,140.40941786766052,43
3.7983648777008057,1743407254,,False,44,0b3dd_00003,2025-03-31_03-47-34,2.520725727081299,142.93014359474182,2466891,della-l04g13,172.17.6.173,142.93014359474182,44
3.6281163692474365,1743407257,,False,45,0b3dd_00003,2025-03-31_03-47-37,2.5380916595458984,145.46823525428772,2466891,della-l04g13,172.17.6.173,145.46823525428772,45
3.5264551639556885,1743407259,,False,46,0b3dd_00003,2025-03-31_03-47-39,2.483362913131714,147.95159816741943,2466891,della-l04g13,172.17.6.173,147.95159816741943,46
3.4695539474487305,1743407262,,False,47,0b3dd_00003,2025-03-31_03-47-42,2.5161688327789307,150.46776700019836,2466891,della-l04g13,172.17.6.173,150.46776700019836,47
3.333859920501709,1743407264,,False,48,0b3dd_00003,2025-03-31_03-47-44,2.558924674987793,153.02669167518616,2466891,della-l04g13,172.17.6.173,153.02669167518616,48
3.3727710247039795,1743407267,,False,49,0b3dd_00003,2025-03-31_03-47-47,2.788362741470337,155.8150544166565,2466891,della-l04g13,172.17.6.173,155.8150544166565,49
3.2962982654571533,1743407270,,False,50,0b3dd_00003,2025-03-31_03-47-50,2.537747621536255,158.35280203819275,2466891,della-l04g13,172.17.6.173,158.35280203819275,50
3.2995548248291016,1743407272,,False,51,0b3dd_00003,2025-03-31_03-47-52,2.7040178775787354,161.05681991577148,2466891,della-l04g13,172.17.6.173,161.05681991577148,51
4.286172866821289,1743407275,,False,52,0b3dd_00003,2025-03-31_03-47-55,2.581878900527954,163.63869881629944,2466891,della-l04g13,172.17.6.173,163.63869881629944,52
3.9639623165130615,1743407277,,False,53,0b3dd_00003,2025-03-31_03-47-57,2.6486237049102783,166.28732252120972,2466891,della-l04g13,172.17.6.173,166.28732252120972,53
3.289177179336548,1743407280,,False,54,0b3dd_00003,2025-03-31_03-48-00,2.4096179008483887,168.6969404220581,2466891,della-l04g13,172.17.6.173,168.6969404220581,54
4.319342613220215,1743407282,,False,55,0b3dd_00003,2025-03-31_03-48-02,2.4738993644714355,171.17083978652954,2466891,della-l04g13,172.17.6.173,171.17083978652954,55
3.0969667434692383,1743407285,,False,56,0b3dd_00003,2025-03-31_03-48-05,2.588329315185547,173.7591691017151,2466891,della-l04g13,172.17.6.173,173.7591691017151,56
4.67634391784668,1743407288,,False,57,0b3dd_00003,2025-03-31_03-48-08,2.655061721801758,176.41423082351685,2466891,della-l04g13,172.17.6.173,176.41423082351685,57
3.519925594329834,1743407290,,False,58,0b3dd_00003,2025-03-31_03-48-10,2.558192491531372,178.97242331504822,2466891,della-l04g13,172.17.6.173,178.97242331504822,58
3.22420072555542,1743407293,,False,59,0b3dd_00003,2025-03-31_03-48-13,2.5460758209228516,181.51849913597107,2466891,della-l04g13,172.17.6.173,181.51849913597107,59
3.715764045715332,1743407295,,False,60,0b3dd_00003,2025-03-31_03-48-15,2.391589641571045,183.91008877754211,2466891,della-l04g13,172.17.6.173,183.91008877754211,60
3.060703754425049,1743407304,,False,61,0b3dd_00003,2025-03-31_03-48-24,8.650498151779175,192.5605869293213,2466891,della-l04g13,172.17.6.173,192.5605869293213,61
3.3052542209625244,1743407307,,False,62,0b3dd_00003,2025-03-31_03-48-27,2.818681240081787,195.37926816940308,2466891,della-l04g13,172.17.6.173,195.37926816940308,62
3.0504238605499268,1743407309,,False,63,0b3dd_00003,2025-03-31_03-48-29,2.7917134761810303,198.1709816455841,2466891,della-l04g13,172.17.6.173,198.1709816455841,63
3.0608344078063965,1743407312,,False,64,0b3dd_00003,2025-03-31_03-48-32,2.5926105976104736,200.76359224319458,2466891,della-l04g13,172.17.6.173,200.76359224319458,64
3.3542816638946533,1743407314,,False,65,0b3dd_00003,2025-03-31_03-48-35,2.491093635559082,203.25468587875366,2466891,della-l04g13,172.17.6.173,203.25468587875366,65
2.9086878299713135,1743407317,,False,66,0b3dd_00003,2025-03-31_03-48-37,2.590684413909912,205.84537029266357,2466891,della-l04g13,172.17.6.173,205.84537029266357,66
3.092113733291626,1743407320,,False,67,0b3dd_00003,2025-03-31_03-48-40,2.5686941146850586,208.41406440734863,2466891,della-l04g13,172.17.6.173,208.41406440734863,67
3.1365652084350586,1743407322,,False,68,0b3dd_00003,2025-03-31_03-48-42,2.4578278064727783,210.8718922138214,2466891,della-l04g13,172.17.6.173,210.8718922138214,68
3.644456386566162,1743407325,,False,69,0b3dd_00003,2025-03-31_03-48-45,2.535041093826294,213.4069333076477,2466891,della-l04g13,172.17.6.173,213.4069333076477,69
3.534079074859619,1743407327,,False,70,0b3dd_00003,2025-03-31_03-48-47,2.593702554702759,216.00063586235046,2466891,della-l04g13,172.17.6.173,216.00063586235046,70
2.9651966094970703,1743407330,,False,71,0b3dd_00003,2025-03-31_03-48-50,2.5940864086151123,218.59472227096558,2466891,della-l04g13,172.17.6.173,218.59472227096558,71
2.883082866668701,1743407332,,False,72,0b3dd_00003,2025-03-31_03-48-52,2.5463194847106934,221.14104175567627,2466891,della-l04g13,172.17.6.173,221.14104175567627,72
2.964329242706299,1743407335,,False,73,0b3dd_00003,2025-03-31_03-48-55,2.6068084239959717,223.74785017967224,2466891,della-l04g13,172.17.6.173,223.74785017967224,73
