loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
31.076454162597656,1743412482,,False,1,ba8ce_00006,2025-03-31_05-14-42,17.373440504074097,17.373440504074097,839030,della-l02g8,172.17.6.232,17.373440504074097,1
30.803606033325195,1743412485,,False,2,ba8ce_00006,2025-03-31_05-14-45,2.5384061336517334,19.91184663772583,839030,della-l02g8,172.17.6.232,19.91184663772583,2
30.46367645263672,1743412487,,False,3,ba8ce_00006,2025-03-31_05-14-47,2.6036999225616455,22.515546560287476,839030,della-l02g8,172.17.6.232,22.515546560287476,3
30.223695755004883,1743412490,,False,4,ba8ce_00006,2025-03-31_05-14-50,2.6559765338897705,25.171523094177246,839030,della-l02g8,172.17.6.232,25.171523094177246,4
29.8528995513916,1743412492,,False,5,ba8ce_00006,2025-03-31_05-14-52,2.6020171642303467,27.773540258407593,839030,della-l02g8,172.17.6.232,27.773540258407593,5
25.042835235595703,1743412495,,False,6,ba8ce_00006,2025-03-31_05-14-55,2.676318645477295,30.449858903884888,839030,della-l02g8,172.17.6.232,30.449858903884888,6
13.608136177062988,1743412498,,False,7,ba8ce_00006,2025-03-31_05-14-58,2.798567056655884,33.24842596054077,839030,della-l02g8,172.17.6.232,33.24842596054077,7
34.31476974487305,1743412501,,False,8,ba8ce_00006,2025-03-31_05-15-01,2.603341817855835,35.851767778396606,839030,della-l02g8,172.17.6.232,35.851767778396606,8
7.395125865936279,1743412503,,False,9,ba8ce_00006,2025-03-31_05-15-03,2.565767765045166,38.41753554344177,839030,della-l02g8,172.17.6.232,38.41753554344177,9
4.574326038360596,1743412506,,False,10,ba8ce_00006,2025-03-31_05-15-06,2.9299519062042236,41.347487449645996,839030,della-l02g8,172.17.6.232,41.347487449645996,10
3.776141405105591,1743412509,,False,11,ba8ce_00006,2025-03-31_05-15-09,2.9822616577148438,44.32974910736084,839030,della-l02g8,172.17.6.232,44.32974910736084,11
