hashname,20250407_PC_NODE_grid_final_latent_size,_max_epochs,_seed,_lr,_weight_decay,_encoder_size,_file_index,_output_nonlinearity,_heldin_size,_heldout_size,_n_heldin,_n_heldout,_fr_scaling,_rect_func,_obs_noise,_dispersion,_alpha,_vf_hidden_size,_vf_num_layers,state_r2,rate_r2,co-bps,cycle_con
bd1e055c,32,501,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.6750221848487854,0.4887324571609497,0.12242679297924042,0.9989902377128601
bd1e055c,32,501,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.6750221848487854,0.4887324571609497,0.12242679297924042,0.9989902377128601
5786594d,64,501,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.2949792444705963,0.11756595969200134,0.03029671125113964,0.9972964525222778
5786594d,64,501,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.2949792444705963,0.11756595969200134,0.03029671125113964,0.9972964525222778
d8b3e0a2,128,501,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7425190210342407,0.49266690015792847,0.12266252189874649,0.9995056390762329
d8b3e0a2,128,501,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7425190210342407,0.49266690015792847,0.12266252189874649,0.9995056390762329
3c418561,256,501,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7843112349510193,0.6270068883895874,0.16127538681030273,0.9996315836906433
3c418561,256,501,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7843112349510193,0.6270068883895874,0.16127538681030273,0.9996315836906433
46cff600,512,501,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7893113493919373,0.6525838375091553,0.1752116084098816,0.999505341053009
46cff600,512,501,0,0.0001,0.0001,128,21,,250,300,250,50,1.0,softplus,poisson,1.0,,,,0.7893113493919373,0.6525838375091553,0.1752116084098816,0.999505341053009
